street_name,latitude,longitude
JLN DUSUN,1.32696539864482,103.84367423097
YISHUN AVE 2,1.416244081375,103.833187928653
JOO CHIAT RD,1.31552186936095,103.898992245034
EAST COAST RD,1.31428500790923,103.934117241924
REDHILL RD,1.28762380319793,103.817255964036
KIM PONG RD,1.28429935662089,103.830518003368
RACE COURSE RD,1.31574884105909,103.856945291334
KRETA AYER RD,1.28004979441591,103.842481877778
HOUGANG ST 61,1.37499002963882,103.88598223129
TESSENSOHN RD,1.31647752400492,103.857750849922
MARSILING RD,1.43911200532501,103.782256593639
YISHUN ST 81,1.41542424807315,103.83647690145
BT BATOK ST 51,1.3571882058688,103.751123943023
BT BATOK WEST AVE 4,1.3629029334905,103.746483437421
BT BATOK WEST AVE 2,1.36286550210696,103.743630618849
JURONG WEST ST 91,1.34199728698448,103.692646163316
JURONG WEST ST 81,1.34736600569968,103.694137958987
GANGSA RD,1.37916431633637,103.767439286222
MCNAIR RD,1.31861240780884,103.856094947902
SIMEI ST 4,1.34223585443069,103.955927098501
YISHUN AVE 7,1.43706628204098,103.831120689838
SERANGOON NTH AVE 2,1.36920170635718,103.875626641606
YISHUN AVE 11,1.43080205677888,103.833011168832
BANGKIT RD,1.38002223010088,103.772647370452
JURONG WEST ST 73,1.3477109654722,103.700467520791
OUTRAM HILL,1.28651357464735,103.837127264403
HOUGANG AVE 6,1.37340363494693,103.890971498594
PASIR RIS ST 12,1.36705021516612,103.958181857039
PENDING RD,1.37602800535195,103.769749123717
PETIR RD,1.37728755480684,103.76343057748
LOR 3 GEYLANG,1.31193818771992,103.874584454941
BISHAN ST 11,1.3481684058708,103.848454356211
PASIR RIS DR 6,1.37030597181051,103.957726863885
BISHAN ST 23,1.3578059845284,103.84770931156
JURONG WEST ST 92,1.34147250139656,103.690754295663
PASIR RIS ST 11,1.36780002443212,103.956738052947
YISHUN CTRL,1.42973387379292,103.835854862105
BISHAN ST 22,1.35777333921775,103.844621257265
SIMEI RD,1.34469945127151,103.958210105786
TAMPINES ST 84,1.35304500005173,103.932013333047
BT PANJANG RING RD,1.37727545203058,103.773096813492
JURONG WEST ST 93,1.33870216736251,103.692769468387
FAJAR RD,1.37942873617052,103.76970317201
WOODLANDS ST 81,1.44092236169149,103.789086300318
CHOA CHU KANG CTRL,1.38308302434129,103.747076627693
PASIR RIS ST 51,1.36973888896515,103.948498055594
HOUGANG ST 52,1.35304421094299,103.87823462336
CASHEW RD,1.37241441269091,103.767993951687
TOH YI DR,1.33904480982037,103.774300403826
HOUGANG CTRL,1.37089457370274,103.893157488293
KG KAYU RD,1.30355769675629,103.883796413118
TAMPINES AVE 8,1.34936163486912,103.928490119258
TAMPINES ST 45,1.35970826859449,103.958237169454
SIMEI ST 2,1.34082588501333,103.949465476094
WOODLANDS AVE 3,1.43277433932257,103.779091222588
LENGKONG TIGA,1.3239768755418,103.91068964878
