station_name,latitude,longitude
Jurong East,1.33315281585758,103.742286332403
Bukit Batok,1.34903331201636,103.749566478309
Bukit Gombak,1.35861159094192,103.751790910733
Brickland,,
Choa Chu Kang,1.38536316540225,103.744370779756
Yew Tee,1.39753506936297,103.747405150236
Sungei Kadut,,
Kranji,1.42508698073648,103.762137459497
Marsiling,1.43252114855026,103.774074641403
Woodlands,1.43605761708128,103.787938777173
Admiralty,1.44058856161847,103.800990519771
Sembawang,1.44905082158502,103.820046140211
Canberra,1.44307664075699,103.829702590959
Yishun,1.42944308477331,103.835005047246
Khatib,1.41738337009565,103.832979908243
Yio Chu Kang,1.38175587099132,103.84494727118
Ang Mo Kio,1.36993284962264,103.849558091776
Bishan,1.35131580146658,103.84914026532
Braddell,1.3404690010277,103.846799083148
Toa Payoh,1.33262928096888,103.847502198048
Novena,1.32044079120154,103.843825618748
Newton,1.3123189224097,103.837984594021
Orchard,1.30242224836722,103.823868523249
Somerset,1.30026416739006,103.839085753124
Dhoby Ghaut,1.29891164362677,103.84629250696
City Hall,1.29298990700923,103.852542630339
Raffles Place,1.28393326234538,103.851463066212
Marina Bay,1.27631114381584,103.854604975361
Marina South Pier,1.27102703612006,103.862447515736
Pasir Ris,1.37304331635804,103.949284527763
Tampines,1.34551530560119,103.938436971222
Simei,1.34319707851829,103.953377214378
Tanah Merah,1.32718729074675,103.946348600798
Bedok,1.32040148729112,103.957183823478
Kembangan,1.3210381335934,103.912947930851
Eunos,1.31978354916088,103.903225807255
Paya Lebar,1.3172473854035,103.892260753884
Aljunied,1.3164326118157,103.882906044385
Kallang,1.31148890998818,103.871386541754
Lavender,1.30737781747063,103.862767633888
Bugis,1.30046508509717,103.855706730933
Tanjong Pagar,1.27656131737246,103.845725186759
Outram Park,1.2802415328084,103.840052100136
Tiong Bahru,1.28619457890544,103.826998939732
Redhill,1.28963453412887,103.81674097205
Queenstown,1.29455085184931,103.806077155982
Commonwealth,1.30250199924325,103.798228523336
Buona Vista,1.30627534823257,103.790363200126
Dover,1.31140529320963,103.778637841909
Clementi,1.31511625277378,103.765191452888
Chinese Garden,1.34235282081401,103.732596738363
Lakeside,1.34425911493819,103.720949087456
Boon Lay,1.33860405469845,103.706064622772
Pioneer,1.33758701106708,103.697321608474
Joo Koon,1.3277170408447,103.678374996165
Gul Circle,1.31947090075208,103.660530461345
Tuas Crescent,1.32102695598684,103.649078235627
Tuas West Road,1.32998504653102,103.639616648771
Tuas Link,1.34088242451105,103.636991425128
Expo,1.33538252614956,103.962374747451
Changi Airport,1.35747897447692,103.98788356959
HarbourFront,1.26538938374901,103.821530157095
"Station code ""NE2"" is reserved for a possible future station.",,
Chinatown,1.28422391919085,103.845143798953
Clarke Quay,1.28745211415803,103.846119192727
Little India,1.30724381608438,103.849841614124
Farrer Park,1.31314029963164,103.854754721344
Boon Keng,1.31993957653291,103.862052698446
Potong Pasir,1.33137808528793,103.869363547741
Woodleigh,1.33919004519388,103.87081830915
Serangoon,1.35063361526525,103.872771660431
Kovan,1.36017917065237,103.885064856353
Hougang,1.37129226620797,103.892380513029
Buangkok,1.38287001971672,103.893122569706
Sengkang,1.39169462601522,103.895484694279
Punggol,1.41492733388605,103.910166388177
Punggol Coast,1.41492733388605,103.910166388177
Bras Basah,1.29686168649656,103.850667371637
Esplanade,1.2936577245386,103.855081226245
Promenade,1.29399798636232,103.860350000188
Nicoll Highway,1.29976684675139,103.86363696572
Stadium,1.3028124684707,103.875337711089
Mountbatten,1.30620190525331,103.882528081052
Dakota,1.30854798388121,103.889064718377
MacPherson,1.32615024457361,103.889298600376
Tai Seng,1.33514150139202,103.888389300191
Bartley,1.34250117805245,103.880177899184
Lorong Chuan,1.35153128621585,103.864812169514
Marymount,1.348707263451,103.839423132332
Caldecott,1.33724561271722,103.840161782075
Bukit Brown[lower-alpha 2],,
Botanic Gardens � Kebun Bunga,,
Farrer Road,1.31743915158967,103.807379214161
Holland Village,1.31224029631595,103.796399122407
one-north,1.29975987493555,103.78745750525
Kent Ridge,1.29353349887123,103.784572738173
Haw Par Villa,1.28195688684898,103.781988990137
Pasir Panjang,1.27621352233766,103.791350313288
Labrador Park,1.27236838626952,103.803416232089
Telok Blangah,1.27070647717762,103.809761611219
Keppel,1.26977220124441,103.830031459524
Cantonment,1.27287214563203,103.837062313764
Prince Edward Road,1.27315693636085,103.847097123745
Bayfront,1.28187378879209,103.859079764874
Bukit Panjang,1.37956121236613,103.761188866252
Cashew,1.36981544925552,103.76443921414
Hillview,1.36234486803558,103.767418254007
Hume,,
Beauty World,1.34090149001429,103.775746717778
King Albert Park,1.335893496278,103.783235863233
Sixth Avenue,1.33085764536226,103.796906838288
Tan Kah Kee,1.32639224146351,103.806548201692
Stevens,1.32006555750626,103.826024401924
Rochor,1.30385218527656,103.852769428884
Downtown,1.27944638178916,103.852840829581
Telok Ayer,1.28206894769394,103.848648781083
Fort Canning,1.29248194822996,103.844331362465
Bencoolen,1.29891843369422,103.850353762717
Jalan Besar,1.3051713878069,103.855295713435
Bendemeer,1.31367252847691,103.862977620945
Geylang Bahru,1.32130110228321,103.871622627142
Mattar,1.32687671501334,103.883247509542
Ubi,1.32997425973974,103.899226655439
Kaki Bukit,1.33496735995428,103.908459338046
Bedok North,1.33474211664091,103.91797832995
Bedok Reservoir,1.33660782955099,103.932234623286
Tampines West,1.34551530560119,103.938436971222
Tampines East,1.35619148271544,103.9546344625
Upper Changi,1.34173977444995,103.961472788634
Xilin,1.32890694938858,103.964902569595
Sungei Bedok,1.32040148729112,103.957183823478
Woodlands North,1.44829245259621,103.785692682441
Woodlands South,1.42739605281442,103.79326432221
Springleaf,1.39758106126824,103.817856949947
Lentor,1.38550657972169,103.835743809669
Mayflower,1.37146318831015,103.836567766945
Bright Hill,1.36328318545185,103.832893619992
Upper Thomson,1.35441643365401,103.832898468504
Mount Pleasant,1.32856455460666,103.83518858199
Napier,1.30678223364785,103.818956796815
Orchard Boulevard,1.30242224836722,103.823868523249
Great World,1.29394816169384,103.833720837731
Havelock,1.28850523975311,103.833585838226
Maxwell,1.28053329842878,103.843883670633
Shenton Way,1.2777168283425,103.850367596067
Marina South,1.27455475919137,103.863574321728
Gardens by the Bay � Taman di Pesisiran,,
Founders' Memorial � Peringatan Pengasas,,
Tanjong Rhu,1.29726507940646,103.873453254621
Katong Park,1.29783147778951,103.886178949925
Tanjong Katong,1.29931925742524,103.897368742078
Marine Parade,1.30261163483383,103.904983086812
Marine Terrace,1.30666510344814,103.9151067005
Siglap,1.31000855143448,103.930025826702
Bayshore,1.31312248299118,103.942307986645
Bedok South,1.31668400658419,103.94931120983
Changi Airport Terminal 5[lower-alpha 4],,
Choa Chu Kang West,,
Tengah,,
Hong Kah,,
Corporation,,
Jurong West,1.33756383090029,103.697631494536
Bahar Junction,,
Gek Poh,,
Tawas,,
Tengah Plantation,,
Tengah Park,,
Bukit Batok West,1.35871216207818,103.751883836125
Toh Guan,,
Jurong Town Hall,,
Pandan Reservoir,,
Enterprise,,
Tukang,,
Jurong Hill,,
Jurong Pier,,
Nanyang Gateway,,
Nanyang Crescent,,
Peng Kang Hill,,
Changi Airport Terminal 5,,
Aviation Park,,
Loyang,,
Pasir Ris East,,
Tampines North,,
Defu,,
Serangoon North,,
Tavistock,,
Teck Ghee,,
Elias,,
Riviera,,
